Id,Year,Month,Day,Hour,Minute,Second,Temperature,Humidity,Safe Level,Water Level,Rain Status
0,2019,12,28,13,11,3,28.00,61.00,0,0,0000
1,2019,12,28,13,11,5,28.00,61.00,60,0,0000
2,2019,12,28,13,11,7,28.00,61.00,60,0,0000
3,2019,12,28,13,11,9,28.00,61.00,60,0,0000
4,2019,12,28,13,11,11,28.00,61.00,60,0,0000
5,2019,12,28,13,11,13,28.00,61.00,60,0,0000
6,2019,12,28,13,11,15,28.00,61.00,60,0,0000
7,2019,12,28,13,11,17,28.00,61.00,60,0,0000
8,2019,12,28,13,11,19,28.00,61.00,60,0,0000
9,2019,12,28,13,11,21,28.00,61.00,60,0,0000
