Id,Year,Month,Day,Hour,Minute,Second,Temperature,Humidity,Safe Level,Water Level,Rain Status
0,2019,12,28,13,1,11,28.00,61.00,60,0,"111
"
1,2019,12,28,13,1,12,28.00,61.00,0,0,"111
"
2,2019,12,28,13,1,14,28.00,61.00,60,0,"111
"
3,2019,12,28,13,1,16,28.00,61.00,60,0,"111
"
4,2019,12,28,13,1,18,28.00,61.00,60,0,"111
"
5,2019,12,28,13,1,20,28.00,61.00,60,0,"111
"
6,2019,12,28,13,1,22,28.00,61.00,60,0,"111
"
7,2019,12,28,13,1,24,28.00,61.00,60,0,"111
"
8,2019,12,28,13,1,26,28.00,61.00,60,0,"111
"
9,2019,12,28,13,1,28,28.00,61.00,60,0,"111
"
10,2019,12,28,13,1,30,28.00,61.00,60,0,"111
"
11,2019,12,28,13,1,32,28.00,61.00,60,0,"111
"
12,2019,12,28,13,1,34,28.00,61.00,60,0,"111
"
13,2019,12,28,13,1,36,28.00,61.00,60,0,"111
"
14,2019,12,28,13,1,38,28.00,61.00,60,0,"111
"
15,2019,12,28,13,1,40,28.00,61.00,60,0,"111
"
16,2019,12,28,13,1,42,28.00,61.00,4,0,"111
"
17,2019,12,28,13,1,44,28.00,61.00,25,0,"111
"
18,2019,12,28,13,1,46,28.00,62.00,60,0,"111
"
19,2019,12,28,13,1,49,28.00,62.00,60,0,"111
"
